ANO,MES,COD_MUNICIPIO,NOME_MUNICIPIO,CD_ORGAO,NOME_ORGAO,CD_RECEBIMENTO,CD_ORGAO_ORCAMENTARIO,NOME_ORGAO_ORCAMENTARIO,CD_UNIDADE_ORCAMENTARIA,NOME_UNIDADE,TP_UNIDADE,CD_CONTA_SG,DS_CONTA_SG,NIVEL,NR_NIVEL,CD_RECURSO,NM_RECURSO,CAR_PECULIAR,DS_CAR_PECULIAR,VL_ORCADO,VL_ARRECADADO
2020,12,149,PORTO ALEGRE,54909,DEP. MUNICIPAL DE HABITAÇÃO - PORTO ALEGRE,236374,31,DEPARTAMENTO MUNICIPAL DE HABITAÇÃO,1,DEPARTAMENTO MUNICIPAL DE HABITAÇÃO,ATE,1000000000000000000,Receitas Correntes,S,1,1,RECURSO LIVRE - ADMINISTRAÇÃO DIRETA,000,Não se Aplica,2486030.00,2534901.49
2020,12,149,PORTO ALEGRE,54909,DEP. MUNICIPAL DE HABITAÇÃO - PORTO ALEGRE,236374,31,DEPARTAMENTO MUNICIPAL DE HABITAÇÃO,1,DEPARTAMENTO MUNICIPAL DE HABITAÇÃO,ATE,1300000000000000000,Receita Patrimonial,S,2,1,RECURSO LIVRE - ADMINISTRAÇÃO DIRETA,000,Não se Aplica,1229698.00,1237750.04
2020,12,149,PORTO ALEGRE,54909,DEP. MUNICIPAL DE HABITAÇÃO - PORTO ALEGRE,236374,31,DEPARTAMENTO MUNICIPAL DE HABITAÇÃO,1,DEPARTAMENTO MUNICIPAL DE HABITAÇÃO,ATE,1310000000000000000,Exploração do Patrimônio Imobiliário do Estado,S,3,1,RECURSO LIVRE - ADMINISTRAÇÃO DIRETA,000,Não se Aplica,60805.00,681307.22
2020,12,149,PORTO ALEGRE,54909,DEP. MUNICIPAL DE HABITAÇÃO - PORTO ALEGRE,236374,31,DEPARTAMENTO MUNICIPAL DE HABITAÇÃO,1,DEPARTAMENTO MUNICIPAL DE HABITAÇÃO,ATE,1310010000000000000,"Aluguéis, Arrendamentos, Foros, Laudêmios, Tarifas de Ocupação",S,5,1,RECURSO LIVRE - ADMINISTRAÇÃO DIRETA,000,Não se Aplica,60805.00,668210.00
2020,12,149,PORTO ALEGRE,54909,DEP. MUNICIPAL DE HABITAÇÃO - PORTO ALEGRE,236374,31,DEPARTAMENTO MUNICIPAL DE HABITAÇÃO,1,DEPARTAMENTO MUNICIPAL DE HABITAÇÃO,ATE,1310012000000000000,"Foros, Laudêmios e Tarifas de Ocupação",S,6,1,RECURSO LIVRE - ADMINISTRAÇÃO DIRETA,000,Não se Aplica,60805.00,668210.00
2020,12,149,PORTO ALEGRE,54909,DEP. MUNICIPAL DE HABITAÇÃO - PORTO ALEGRE,236374,31,DEPARTAMENTO MUNICIPAL DE HABITAÇÃO,1,DEPARTAMENTO MUNICIPAL DE HABITAÇÃO,ATE,1310012100000000000,"Foros, Laudêmios e Tarifas de Ocupação - Principal",S,7,1,RECURSO LIVRE - ADMINISTRAÇÃO DIRETA,000,Não se Aplica,60805.00,668210.00
2020,12,149,PORTO ALEGRE,54909,DEP. MUNICIPAL DE HABITAÇÃO - PORTO ALEGRE,236374,31,DEPARTAMENTO MUNICIPAL DE HABITAÇÃO,1,DEPARTAMENTO MUNICIPAL DE HABITAÇÃO,ATE,1310012101000000000,"Foros, Laudêmios e Tarifas de Ocupação",S,8,1,RECURSO LIVRE - ADMINISTRAÇÃO DIRETA,000,Não se Aplica,60805.00,668210.00
2020,12,149,PORTO ALEGRE,54909,DEP. MUNICIPAL DE HABITAÇÃO - PORTO ALEGRE,236374,31,DEPARTAMENTO MUNICIPAL DE HABITAÇÃO,1,DEPARTAMENTO MUNICIPAL DE HABITAÇÃO,ATE,1310012101030000000,Tarifas de Ocupação,S,9,1,RECURSO LIVRE - ADMINISTRAÇÃO DIRETA,000,Não se Aplica,60805.00,668210.00
2020,12,149,PORTO ALEGRE,54909,DEP. MUNICIPAL DE HABITAÇÃO - PORTO ALEGRE,236374,31,DEPARTAMENTO MUNICIPAL DE HABITAÇÃO,1,DEPARTAMENTO MUNICIPAL DE HABITAÇÃO,ATE,1310012101039900000,Tarifa de Ocupação Direito Real de Uso - Diversas,S,10,1,RECURSO LIVRE - ADMINISTRAÇÃO DIRETA,000,Não se Aplica,60805.00,668210.00
2020,12,149,PORTO ALEGRE,54909,DEP. MUNICIPAL DE HABITAÇÃO - PORTO ALEGRE,236374,31,DEPARTAMENTO MUNICIPAL DE HABITAÇÃO,1,DEPARTAMENTO MUNICIPAL DE HABITAÇÃO,ATE,1310012101039979030,Tarifa de Ocupação de Imovéis - CDRU/PRU - FMHIS,A,11,7903,RECURSOS FUNDO MUNICIPAL DE HABITAÇÃO DE INTERESSE SOCIAL,000,Não se Aplica,60805.00,668210.00
2020,12,149,PORTO ALEGRE,54909,DEP. MUNICIPAL DE HABITAÇÃO - PORTO ALEGRE,236374,31,DEPARTAMENTO MUNICIPAL DE HABITAÇÃO,1,DEPARTAMENTO MUNICIPAL DE HABITAÇÃO,ATE,1310020000000000000,"Conc., Permissão, Autor. ou Cessão do Dir. de Uso de Bens Imov. Púb.",S,5,1,RECURSO LIVRE - ADMINISTRAÇÃO DIRETA,000,Não se Aplica,0.00,13097.22
2020,12,149,PORTO ALEGRE,54909,DEP. MUNICIPAL DE HABITAÇÃO - PORTO ALEGRE,236374,31,DEPARTAMENTO MUNICIPAL DE HABITAÇÃO,1,DEPARTAMENTO MUNICIPAL DE HABITAÇÃO,ATE,1310021000000000000,"Conc., Permissão, Autor. ou Cessão do Dir. de Uso de Bens Imov. Púb.",S,6,1,RECURSO LIVRE - ADMINISTRAÇÃO DIRETA,000,Não se Aplica,0.00,13097.22
2020,12,149,PORTO ALEGRE,54909,DEP. MUNICIPAL DE HABITAÇÃO - PORTO ALEGRE,236374,31,DEPARTAMENTO MUNICIPAL DE HABITAÇÃO,1,DEPARTAMENTO MUNICIPAL DE HABITAÇÃO,ATE,1310021100000000000,Conc. Perm. Aut. Cessão Dir. Uso Bens Imóv. Púb. - Principal,S,7,1,RECURSO LIVRE - ADMINISTRAÇÃO DIRETA,000,Não se Aplica,0.00,13097.22
2020,12,149,PORTO ALEGRE,54909,DEP. MUNICIPAL DE HABITAÇÃO - PORTO ALEGRE,236374,31,DEPARTAMENTO MUNICIPAL DE HABITAÇÃO,1,DEPARTAMENTO MUNICIPAL DE HABITAÇÃO,ATE,1310021101000000000,Conc. Perm. Aut. Cessão Dir. Uso Bens Imóv. Públicos,S,8,1,RECURSO LIVRE - ADMINISTRAÇÃO DIRETA,000,Não se Aplica,0.00,13097.22
2020,12,149,PORTO ALEGRE,54909,DEP. MUNICIPAL DE HABITAÇÃO - PORTO ALEGRE,236374,31,DEPARTAMENTO MUNICIPAL DE HABITAÇÃO,1,DEPARTAMENTO MUNICIPAL DE HABITAÇÃO,ATE,1310021101020000000,Permissão do Direito de Uso de Bens Imóveis Públicos - Principal,S,9,1,RECURSO LIVRE - ADMINISTRAÇÃO DIRETA,000,Não se Aplica,0.00,13097.22
2020,12,149,PORTO ALEGRE,54909,DEP. MUNICIPAL DE HABITAÇÃO - PORTO ALEGRE,236374,31,DEPARTAMENTO MUNICIPAL DE HABITAÇÃO,1,DEPARTAMENTO MUNICIPAL DE HABITAÇÃO,ATE,1310021101029900000,Permissão do Direito de Uso de Bens Imóveis Públicos - Diversas,S,10,1,RECURSO LIVRE - ADMINISTRAÇÃO DIRETA,000,Não se Aplica,0.00,13097.22
2020,12,149,PORTO ALEGRE,54909,DEP. MUNICIPAL DE HABITAÇÃO - PORTO ALEGRE,236374,31,DEPARTAMENTO MUNICIPAL DE HABITAÇÃO,1,DEPARTAMENTO MUNICIPAL DE HABITAÇÃO,ATE,1310021101029904000,Permissão de Uso de Bancas - Adm. Indireta,A,11,400,RECURSO LIVRE - ADMINISTRAÇÃO INDIRETA,000,Não se Aplica,0.00,13097.22
