MZUEUQRT;MZ;UEU;QRT;estq_max_01;estq_max_02;estq_max_03;estq_max_04;estq_max_05;estq_max_06;estq_max_07;estq_max_08;estq_max_09;estq_max_10;estq_max_11;estq_max_12;estq_max_13;estq_max_14;estq_max_15;estq_max_16
1004005;1.0;4.0;5.0;1388.5667;1388.5667;1388.5667;1388.5667;1388.5667;1388.5667;1388.5667;1388.5667;1388.5667;1388.5667;1388.5667;2540.07;2540.07;2540.07;2540.07;2540.07
1004007;1.0;4.0;7.0;3136.8377;3136.8377;3136.8377;3136.8377;3136.8377;3136.8377;3136.8377;3136.8377;3136.8377;3136.8377;3136.8377;4327.49;4327.49;4327.49;4327.49;4327.49
1004009;1.0;4.0;9.0;1892.4383;1892.4383;1892.4383;1892.4383;1892.4383;1892.4383;1892.4383;1892.4383;1892.4383;1892.4383;1892.4383;3727.71;3727.71;3727.71;3727.71;3727.71
1004013;1.0;4.0;13.0;5340.5007;5340.5007;5340.5007;5340.5007;5340.5007;5340.5007;5340.5007;5340.5007;5340.5007;5340.5007;5340.5007;7794.62;7794.62;7794.62;7794.62;7794.62
1004015;1.0;4.0;15.0;6983.3773;6983.3773;6983.3773;6983.3773;6983.3773;6983.3773;6983.3773;6983.3773;6983.3773;6983.3773;6983.3773;9313.57;9313.57;9313.57;9313.57;9313.57
1004019;1.0;4.0;19.0;5628.511;5628.511;5628.511;5628.511;5628.511;5628.511;5628.511;5628.511;5628.511;5628.511;5628.511;8801.94;8801.94;8801.94;8801.94;8801.94
1004021;1.0;4.0;21.0;6091.7407;6091.7407;6091.7407;6091.7407;6091.7407;6091.7407;6091.7407;6091.7407;6091.7407;6091.7407;6091.7407;9366.17;9366.17;9366.17;9366.17;9366.17
1004023;1.0;4.0;23.0;4378.0333;4378.0333;4378.0333;4378.0333;4378.0333;4378.0333;4378.0333;4378.0333;4378.0333;4378.0333;4378.0333;6681.03;6681.03;6681.03;6681.03;6681.03
1004025;1.0;4.0;25.0;834.095;834.095;834.095;834.095;834.095;834.095;834.095;834.095;834.095;834.095;834.095;1459.74;1459.74;1459.74;1459.74;1459.74
1004027;1.0;4.0;27.0;652.7943;652.7943;652.7943;652.7943;652.7943;652.7943;652.7943;652.7943;652.7943;652.7943;652.7943;1451.94;1451.94;1451.94;1451.94;1451.94
1004029;1.0;4.0;29.0;1570.2493;1570.2493;1570.2493;1570.2493;1570.2493;1570.2493;1570.2493;1570.2493;1570.2493;1570.2493;1570.2493;2411.61;2411.61;2411.61;2411.61;2411.61
1004031;1.0;4.0;31.0;1873.8487;1873.8487;1873.8487;1873.8487;1873.8487;1873.8487;1873.8487;1873.8487;1873.8487;1873.8487;1873.8487;2772.46;2772.46;2772.46;2772.46;2772.46
1004033;1.0;4.0;33.0;654.507;654.507;654.507;654.507;654.507;654.507;654.507;654.507;654.507;654.507;654.507;1473.61;1473.61;1473.61;1473.61;1473.61
1006001;1.0;6.0;1.0;4809.3663;4809.3663;4809.3663;4809.3663;4809.3663;4809.3663;4809.3663;4809.3663;4809.3663;4809.3663;4809.3663;6971.01;6971.01;6971.01;6971.01;6971.01
1006003;1.0;6.0;3.0;9101.7593;9101.7593;9101.7593;9101.7593;9101.7593;9101.7593;9101.7593;9101.7593;9101.7593;9101.7593;9101.7593;12966.63;12966.63;12966.63;12966.63;12966.63
1006005;1.0;6.0;5.0;15403.9527;15403.9527;15403.9527;15403.9527;15403.9527;15403.9527;15403.9527;15403.9527;15403.9527;15403.9527;15403.9527;21146.32;21146.32;21146.32;21146.32;21146.32
1006009;1.0;6.0;9.0;1878.6227;1878.6227;1878.6227;1878.6227;1878.6227;1878.6227;1878.6227;1878.6227;1878.6227;1878.6227;1878.6227;2684.89;2684.89;2684.89;2684.89;2684.89
1006011;1.0;6.0;11.0;1729.98;1729.98;1729.98;1729.98;1729.98;1729.98;1729.98;1729.98;1729.98;1729.98;1729.98;2844.19;2844.19;2844.19;2844.19;2844.19
1006013;1.0;6.0;13.0;2925.4307;2925.4307;2925.4307;2925.4307;2925.4307;2925.4307;2925.4307;2925.4307;2925.4307;2925.4307;2925.4307;4163.35;4163.35;4163.35;4163.35;4163.35
1006015;1.0;6.0;15.0;1127.6977;1127.6977;1127.6977;1127.6977;1127.6977;1127.6977;1127.6977;1127.6977;1127.6977;1127.6977;1127.6977;1552.88;1552.88;1552.88;1552.88;1552.88
1006017;1.0;6.0;17.0;858.018;858.018;858.018;858.018;858.018;858.018;858.018;858.018;858.018;858.018;858.018;1538.61;1538.61;1538.61;1538.61;1538.61
